,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Rank
5971,PCDH19,3519153.427090499,0.0080031513138528,0.1193407843432777,0.0670613265858232,0.946532881469863,0.9529713465283888,0.00016742718451974662
5972,EIF3L,80259166.70328665,0.0072934211196626,0.1001930065828667,0.0727937145356598,0.9419702727625192,0.9489287185025476,0.00016604501274764926
5973,TCP11L1,6847327.1811415255,0.0090411631795688,0.1597158486244929,0.0566078022778155,0.954857619194547,0.9600784462069604,0.0001599678327833771
5974,WIPF2,4634570.901963324,0.0101007907327183,0.2199761360236347,0.0459176659582433,0.9633758736294428,0.9674410870627626,0.00014520363578186024
5975,TBC1D9B,37749619.08206471,0.0061705520648358,0.084742457938695,0.0728153538961523,0.9419530527487489,0.9489287185025476,0.00014048131589487766
5976,MYBBP1A,31798103.63788322,0.0074685607316527,0.1279847716970578,0.0583550732842726,0.9534658000777908,0.9589968024814906,0.00013579965128013307
5977,ZBTB14,7870029.055116479,0.0067230578950099,0.1126012332033774,0.0597067874280462,0.9523891657960168,0.9579933122216356,0.00012530114435294903
5978,NIFK,19230097.705349285,0.006363214184655,0.1024529333943149,0.0621086578376894,0.9504763023539836,0.9563862445423892,0.0001232343256143293
5979,DCTN2,125089731.58357988,0.0065638322949945,0.1090850382755172,0.0601717008928044,0.9520188842791016,0.9577333334271996,0.0001231072799816074
5980,2610008E11RIK,10002280.310967963,0.007553275217373,0.1511367957379391,0.0499764149457678,0.96014118297698,0.9645119630683336,0.00011852887500345214
5981,NOSTRIN,7766705.958479849,0.0072966582078816,0.147880886889024,0.0493414555550874,0.9606471829777636,0.9649404005463142,0.00011309462675708499
5982,PXK,21178284.34600103,0.0053357023142118,0.0925133933821614,0.057674917318952,0.9540075735092692,0.9594622074645344,9.589392038850358e-05
5983,RELCH,9432626.504158225,0.0060138343760118,0.1304668434139501,0.0460947334866603,0.9632347436173458,0.9673794028368826,8.66182411142168e-05
5984,NLN,9517907.724852486,0.0069180641147814,0.1934956945724049,0.0357530648424467,0.9714792579470852,0.9751752339511844,7.552683604415076e-05
5985,RPS17,1063927562.1525316,0.0041539710571217,0.0750028103998284,0.0553842054048052,0.9558323787839804,0.9608197433577248,7.210496788582807e-05
5986,SEC22C,4018663.350091292,0.0069382733169755,0.215170340864099,0.0322454911262966,0.9742762783516754,0.9777403001781284,6.783191695502021e-05
5987,SEC22A,12056346.05188039,0.0040999099883839,0.0781030463951895,0.0524935988749912,0.9581353956622908,0.962815805361254,6.747135384737468e-05
5988,CAR11,5044470.50194385,0.0059636348528656,0.197955829619377,0.0301260885538571,0.9759664945134792,0.9789508548686032,5.5098678587216366e-05
5989,PSMA3,151255545.2254207,0.0044801757204567,0.1226871069231817,0.0365170866997613,0.9708700545794174,0.97464432195454,4.9971176429522664e-05
5990,JMJD1C,18337537.414145917,0.0046757255596958,0.146139305703689,0.0319949895558991,0.974476046608608,0.9778599237444128,4.546372768854215e-05
5991,ZWINT,52312245.78927219,0.0034383580212144,0.0839916652934248,0.0409368954550732,0.9673462037691632,0.9712674449988692,4.3533627619088256e-05
5992,POLR3D,17150343.76556717,0.0045353049629982,0.1943551180246768,0.0233351455268722,0.98138293726383,0.9836522181494016,3.2465637572027686e-05
5993,F11R,40610668.09964755,0.0035038294839606,0.1268045073539549,0.0276317424125962,0.97795586454129,0.980784195003936,2.95251637627618e-05
5994,HPRT,66294365.70825564,0.0029996437225448,0.0949656984084357,0.0315866020343864,0.974801728087238,0.97810586754256,2.883898211279881e-05
5995,CCDC50,13951687.571066296,0.0027880741426994,0.116434064205172,0.0239455193953073,0.9808960654523388,0.9832454200854835,2.0459077197512917e-05
5996,NRP2,22476929.967031587,0.0026823810973176,0.1255267995595492,0.0213689913765792,0.9829513092119598,0.9851428604381136,1.743758479984719e-05
5997,BRD4,24062173.17811096,0.0025531929195211,0.1439474653465132,0.0177369772602463,0.9858486816942726,0.9877204432659228,1.3700324344661585e-05
5998,U2AF1,69698843.92883332,0.0021780622906958,0.1212064986555673,0.0179698474492301,0.985662907775782,0.9876158434470956,1.1787567877913819e-05
5999,TIPARP,8147529.99719545,0.0026063559775891,0.2092831241262708,0.0124537321796504,0.9900636162181248,0.99161595230561,9.530128314281115e-06
6000,MOCS2,42962146.69752709,0.0017007318500969,0.1043505258325674,0.0162982585523892,0.9869964468315996,0.9887071537797228,8.388559670664715e-06
6001,FANCL,5683998.889238242,0.0021769935035705,0.1701605150377922,0.0127937641884022,0.9897923315461604,0.991426056612672,8.141239850993737e-06
6002,ANKRD26,1449660.140105286,0.002574217306724,0.3018195937205178,0.0085289933466272,0.9931949303939906,0.9941778862013908,6.52796084148051e-06
6003,MRI1,12008110.837197,0.0020730134399499,0.2038375042856828,0.0101699314226518,0.9918857086071692,0.9932253041132374,6.120001235969658e-06
6004,NCKAP1,49679062.96860188,0.0010680596565202,0.090770819365468,0.0117665529956273,0.9906118656653884,0.9920831928031044,3.6868434861813828e-06
6005,MED20,12982248.26812061,0.0011179617608525,0.1224642353834163,0.0091288836887958,0.9927163058137696,0.9937807492297692,3.0290283272132343e-06
6006,AP5M1,8036155.928978831,0.0009313941272746,0.0995060445453018,0.0093601763745178,0.9925317688367736,0.993759947069124,2.532005394976516e-06
6007,CZIB,59542525.956633486,0.0010640518810275,0.1473256803460907,0.0072224467487811,0.9942373713480112,0.9948931466774515,2.3659840115065664e-06
6008,ALDH3A2,25976109.48340693,0.0008716535592343,0.1077478748058412,0.0080897517543154,0.9935453823773364,0.9943646661098152,2.1393136009763514e-06
6009,GM49336,16174117.610879794,0.000836068687698,0.1152316936009449,0.007255544560452,0.9942109638070108,0.9948931466774515,1.8590495283975922e-06
6010,SPNS2,10812689.616346318,0.000984471359813,0.1844351500334458,0.0053377643016232,0.9957411004984406,0.9962335946541566,1.6133686212660146e-06
6011,SHROOM3,17461958.21123447,0.0003676342335295,0.1276764270669801,0.0028794213777352,0.9977025573133684,0.9980314792806688,3.1460676485453787e-07
6012,PPP1R15A,26505783.13013725,0.0002868015830967,0.1222725950491869,0.0023455916919188,0.9981284903191828,0.9983752667713796,2.0253541005483264e-07
6013,UBALD2,36774802.31798748,0.0003026066904065,0.1696524915697092,0.001783685506807,0.9985768256274372,0.9987414035962262,1.6550943940129672e-07
6014,SMARCE1,57984345.26674566,-9.794545511840988e-05,0.1537923671128938,-0.0006368681161303,0.9994918527972227,0.9994918527972227,-2.1620637996565724e-08
6015,KDM3A,16524999.03119295,-0.0002908477037813,0.2028573729733,-0.0014337546598301,0.9988560296848766,0.9989383348949692,-1.3417392782624384e-07
6016,UNC13A,931502.1269837616,-0.0007005327454808,0.1917404545569917,-0.0036535469111063,0.997084897812788,0.9974958296038418,-7.628180676512578e-07
6017,BCAR3,6550566.132518228,-0.0013597015625934,0.2395748841276874,-0.0056754762401085,0.9954716494433,0.9960461178312722,-2.3394384470484725e-06
6018,SMAGP,25848262.72516233,-0.0015624981235515,0.170204183329239,-0.0091801393654882,0.992675411414303,0.9937807492297692,-4.233464187402966e-06
6019,NCAPD2,17260778.93589197,-0.0020201561632542,0.2427116318862251,-0.008323277082168,0.9933590623982498,0.994260179806,-5.050297002607483e-06
6020,HIRIP3,8999363.183254711,-0.0027421387918032,0.2706407495825116,-0.0101320248190016,0.9919159521427496,0.9932253041132374,-8.095409548064246e-06
6021,FADS6,1344696.218488787,-0.0022936842712866,0.1371019672839507,-0.0167297692128389,0.9866521980841706,0.988443890065834,-1.1578469528704696e-05
6022,PDCD11,9997760.52165064,-0.002193260574707,0.1205408159093419,-0.0181951694798264,0.9854831561964692,0.9875172611258708,-1.1964904205763777e-05
6023,HSF4,3218886.0602562204,-0.0032682074381571,0.1560421034082926,-0.0209443949214507,0.9832900123543292,0.9854009478940212,-2.0874120314511538e-05
6024,SLC30A6,10199748.634914557,-0.003127409973316,0.1218432798649883,-0.0256674801990021,0.9795225623485292,0.9819497265403568,-2.4740147421576123e-05
6025,NAXD,46856997.39522251,-0.0026978963240842,0.0862043264675815,-0.0312965304020887,0.975033057392254,0.9781762454595624,-2.5853638362296625e-05
6026,CHMP6,27195925.17285322,-0.0034993294067972,0.129442026329243,-0.0270339510747186,0.978432654878661,0.9810191765602898,-2.912317992964211e-05
6027,AKAP10,9302249.119058466,-0.0033422185484351,0.1139716669870084,-0.029324994858732,0.9766053924575242,0.9795107551654384,-3.0049188541414502e-05
6028,TRMT61A,4489293.095643202,-0.0038040414234779,0.1444390485437554,-0.0263366552316053,0.9789888183961488,0.9814957284713414,-3.0856809670173807e-05
6029,TTPAL,10640254.51399916,-0.0042872006080266,0.157335251013345,-0.0272488242807267,0.9782612740012968,0.9809283776068854,-3.585257866896777e-05
6030,IFI35,27925434.327317823,-0.0043387400224171,0.1398070502601182,-0.0310337712893927,0.975242607041877,0.9783056055597372,-4.132848593539249e-05
6031,PHF8,7859309.572764487,-0.0050179475557603,0.1828960036001192,-0.027436069990526,0.9781119293767484,0.980859661806626,-4.211626413867556e-05
6032,SIRT1,6166231.970324729,-0.0043410149723643,0.1297334672813506,-0.033461026389976,0.973306944851066,0.9768482915453062,-4.4160618826575985e-05
6033,TDP2,12205409.641940624,-0.0048950826452503,0.1558810451188766,-0.0314026804318463,0.9749484035314562,0.9781721727421082,-4.691788024541757e-05
6034,USP42,4223952.521019875,-0.0050118780911682,0.1473000157709671,-0.0340249664260802,0.9728572418954836,0.976477699709352,-5.1811144065807165e-05
6035,FRMD4A,13629597.19686613,-0.0046082620044026,0.1222495390595576,-0.0376955368490805,0.9699304345479,0.9737815935236878,-5.317214898357242e-05
6036,NEAT1,206626819.5492716,-0.0042064145527009,0.0869537737520526,-0.048375296104979,0.9614171471012786,0.9656338889745296,-6.388492545473078e-05
6037,HNRNPH2,44320579.87612837,-0.0029092519235199,0.0380064586106834,-0.0765462510811814,0.938984518843357,0.9463922193324884,-6.961502052010363e-05
6038,CYTH2,60940424.86912832,-0.0053224668128138,0.1196785495806248,-0.0444730223708822,0.9645273557232096,0.968517292662579,-7.394301231797359e-05
6039,CRELD1,30916719.471981924,-0.0050881331794932,0.0991495246081747,-0.0513177768587475,0.95907230288301,0.9636459583634752,-8.182988015848969e-05
6040,TBC1D5,10882773.07083738,-0.0053743465698028,0.0936755360142063,-0.0573719329344192,0.9542489204386418,0.959545911132046,-9.638482585604579e-05
6041,HP1BP3,69026467.16790856,-0.0057523606014483,0.0956648043489242,-0.0601303754353317,0.9520517976270216,0.9577333334271996,-0.00010788780628318244
6042,RNF150,9374327.798088856,-0.0065400089224878,0.120293688687066,-0.0543670162073184,0.9566427572266128,0.9613954744108136,-0.00011182059227490563
6043,PTAR1,3877365.596221589,-0.0083805360567088,0.163663111075814,-0.0512060170530832,0.9591613572218224,0.9636459583634752,-0.0001347799353893267
6044,DHX15,39762820.441075765,-0.0064414721652646,0.0929311764236245,-0.0693144369108311,0.9447393343835636,0.9514023648700062,-0.00013936623214981606
6045,PLCL1,3169400.990823191,-0.0089238538901453,0.1744374828474559,-0.0511578918961426,0.9591997052804764,0.9636459583634752,-0.0001435178421283377
6046,SLC25A40,5634729.863245577,-0.0083359180962411,0.1478956272001984,-0.0563635196932312,0.9550522178029464,0.960115030851848,-0.00014735178400134054
6047,DESI2,9847907.773585618,-0.0084564312284376,0.1469093821815784,-0.057562227155687,0.9540973381221436,0.959472979765387,-0.00015193882377137024
6048,LRIF1,8711201.447217183,-0.0077459213923011,0.1227615352627829,-0.0630972997830323,0.9496890244774896,0.9556733015573576,-0.0001525214262492275
6049,SRPRB,23547754.866382618,-0.0075812405585104,0.1033686837842927,-0.0733417538171506,0.9415341664045266,0.9486468684751568,-0.00017357570620127934
6050,OFD1,3616690.80273333,-0.0086314538563661,0.1247852219660598,-0.0691704812506873,0.9448539193627388,0.9514165925075504,-0.0001866921222937086
6051,SNRNP35,8078366.384180943,-0.0107649181092369,0.1907011939075498,-0.056449138511716,0.9549840124595184,0.960115030851848,-0.00019028856446414352
6052,EXOC6B,10268935.0045213,-0.0090541477112665,0.1032399957441275,-0.0877000008185447,0.9301151189744202,0.9385439972557814,-0.0002493997909819494
6053,OCEL1,8965501.208087292,-0.011975036128782,0.1793334429292667,-0.0667752535900696,0.9467606242018406,0.9531215739828914,-0.000249699861465355
6054,SUGP1,15438957.254373886,-0.0096319275322996,0.1124849702743846,-0.0856285733890005,0.9317616835956546,0.940049173216996,-0.00025861174680898754
6055,CHERP,18218708.712481886,-0.0115440844331806,0.1466503765171997,-0.0787184097807396,0.9372566020312544,0.9449645604629784,-0.00028380529872861106
6056,KLF3,20080864.542739056,-0.0118100352678767,0.1531170178460682,-0.0771307816336236,0.938519505730434,0.9460806678613188,-0.00028428918211696296
6057,TRIM25,17491038.585164085,-0.0102852552133992,0.1134524896811079,-0.0906569370342515,0.927765188937219,0.936640001508154,-0.0002923820205835119
